x_start,y_start,z_start,x_stop,y_stop,z_stop,mip,model_name,tgt_radius,skip,comment
0,0,1,524288,524288,2817,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,2817,524288,524288,2843,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,2843,524288,524288,2867,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,2867,524288,524288,6817,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,6817,524288,524288,6843,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,6843,524288,524288,6868,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,6868,524288,524288,6892,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,6892,524288,524288,8167,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8167,524288,524288,8193,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8193,524288,524288,8217,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8217,524288,524288,8617,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8617,524288,524288,8644,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8644,524288,524288,8667,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8667,524288,524288,8692,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8692,524288,524288,8722,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8722,524288,524288,8744,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8744,524288,524288,8767,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8767,524288,524288,8867,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8867,524288,524288,8898,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8898,524288,524288,8917,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8917,524288,524288,8942,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8942,524288,524288,8968,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8968,524288,524288,8992,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8968,524288,524288,8992,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,8992,524288,524288,9467,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,9467,524288,524288,9493,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,9493,524288,524288,9517,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,9517,524288,524288,10717,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,10717,524288,524288,10743,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,10743,524288,524288,10767,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,10767,524288,524288,13317,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,13317,524288,524288,13343,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,13343,524288,524288,13367,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,13367,524288,524288,14967,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,14967,524288,524288,14993,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,14993,524288,524288,15017,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,15017,524288,524288,15067,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,15067,524288,524288,15094,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,15094,524288,524288,15117,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing
0,0,15117,524288,524288,17608,0,v1dd_m6_201116_v1,5,0,tmacrina_metroem_testing